step,action,price,shares,cost
10,buy,972.2619018554688,686.4107865374091,667.3710567729696
12,sell,1014.7495727539062,518.6753642172487,526.3256042374298
13,sell,1014.7495727539062,61.98146593228785,62.89566607344989
14,sell,987.313720703125,105.75395638787256,104.41233216038648
15,buy,1023.1329345703125,557.0682261160551,569.9548489419979
16,sell,1024.27587890625,539.7681748000533,552.871521648947
18,buy,999.5072631835938,124.95032496241706,124.88875733708615
20,buy,1037.8035888671875,206.3612074882218,214.1624017342429
21,sell,1020.4654541015625,90.33740820301708,92.18620428425004
22,buy,1022.3709106445312,61.35388509369077,62.726427374816566
23,sell,1034.3739013671875,261.2297128268845,270.2091972097746
24,buy,1035.707763671875,259.5541958931399,268.8222957801357
25,sell,1019.703369140625,70.88677893099019,72.28348730345736
26,buy,1019.1316528320312,77.75784117458561,79.24547719690601
27,sell,1001.9843139648438,99.88252669506555,100.08072498763045
28,buy,1014.3688354492188,101.19111782135305,102.64511634225057
29,sell,1023.7046508789062,78.66207697794951,80.52673405012145
30,sell,1019.1316528320312,57.76568505400381,58.870838086061475
31,buy,1006.17578125,153.43092361818734,154.37847943943873
33,sell,1047.7109375,96.07445604505078,100.65825841276269
34,sell,963.1167602539062,123.60443057340001,119.0454987268819
35,buy,959.687255859375,82.09018639845794,78.7809057177207
36,sell,921.9627075195312,205.5466584596939,189.50635375509177
38,buy,934.7280883789062,378.84302598685264,354.11521747637113
39,sell,924.8206176757812,133.43517993835778,123.40360553027107
40,buy,948.8271484375,195.04395700778977,185.0630015476675
41,sell,959.8776245117188,362.93342406501205,348.371672947428
42,buy,961.40185546875,194.059709338288,186.5693646295564
43,sell,967.8800048828125,271.5780883295606,262.85500145848005
44,buy,981.0263061523438,192.10144083008853,188.45656690408478
45,sell,1004.8421630859375,192.10144083008853,193.0316273356314
46,buy,1017.4169311523438,110.13728545502732,112.05553897310357
47,sell,1012.2727661132812,110.13728545502732,111.48897459976857
49,buy,1015.7023315429688,180.01050172283843,182.8370863021066
50,buy,1025.4193115234375,100.99315384466074,103.56033028397263
52,sell,1012.65380859375,54.86869367670066,55.56299162427473
54,buy,1014.7495727539062,53.464437930768355,54.25301554777493
56,buy,996.2684936523438,100.99592506129314,100.61905812583952
60,buy,977.40625,73.91748852383975,72.24741526750424
61,buy,981.0263061523438,73.79195529426136,72.3918493260881
62,sell,975.3104248046875,95.90191646747938,93.53413888948097
64,sell,977.7872924804688,240.98924074825368,235.6362172281588
66,buy,897.1941528320312,338.0262323502555,303.27515916849086
67,sell,879.47509765625,275.9860278753194,242.72283881740705
68,sell,904.2437133789062,253.45381596016415,229.18401971387271
69,buy,911.8970336914062,354.90163743058224,323.6337504251709
70,buy,890.467529296875,264.33511857235,235.381839941517
73,sell,899.6517333984375,339.6220792799764,305.54159232461234
74,sell,903.095703125,274.7290773555248,248.10664928327017
76,buy,921.4636840820312,243.34806172091706,224.23640146757776
77,buy,916.4889526367188,146.1083807020145,133.90671680103623
78,sell,999.33642578125,239.00058225759238,238.84198763294
79,buy,981.9252319335938,169.12834183732448,166.07138628515898
80,sell,980.5859375,324.4698013700947,318.1705243669331
82,buy,998.762451171875,412.1209143291057,411.61089457453187
83,sell,1024.4014892578125,307.16755647693867,314.6629023066592
84,buy,1026.1231689453125,157.63728905468807,161.75527458874475
85,sell,1013.8779296875,262.5906469068551,266.2348614412236
86,buy,1020.0006103515625,166.30207169879222,169.62821463549736
87,sell,1015.982666015625,83.91617016190955,85.25737428291771
88,buy,1011.773193359375,165.38628229308839,167.33340697351312
89,buy,990.9180297851562,190.29045917523075,188.56224689283238
90,sell,1005.842041015625,72.91063237106619,73.33657927585311
91,sell,997.2319946289062,256.3542392842216,255.6446493729802
93,buy,1027.080078125,384.6237475967736,395.03938873042455
94,sell,1019.80908203125,493.4215189466877,503.1957462914866
96,buy,1027.654052734375,371.16340368159734,381.42757602007833
97,sell,1006.9896850585938,270.6146785160297,272.5061898910893
98,buy,1047.170166015625,190.7009003034666,199.69629343011027
99,buy,1027.271484375,101.95874541727697,104.73931174981885
100,sell,1128.86962890625,235.0506911184108,265.341586456998
101,sell,1123.1295166015625,115.37899075502695,129.58555011266955
104,buy,1026.69677734375,266.3712630110455,273.4825173104249
105,sell,1025.5491943359375,105.04521536027922,107.7290359815794
106,buy,1037.60302734375,323.2612048568208,335.4168047822254
107,sell,1044.2999267578125,223.45298884920564,233.35193988903973
108,buy,1016.748046875,274.1440570973728,278.7354346161423
109,sell,1020.95751953125,578.0570097686277,590.1716508410298
110,buy,1005.842041015625,225.13213140074976,226.44736254632804
112,buy,972.7412109375,130.5358530814417,126.97760379720118
113,buy,997.4231567382812,63.98401414780753,63.81913737209304
115,buy,1000.4846801757812,78.2365028983165,78.27442258029377
117,sell,1030.71533203125,103.63580763467309,106.81901587649884
118,sell,1018.0873413085938,141.25983214932222,143.81484694660168
