step,action,price,shares,cost
10,buy,386.2071838378906,1951.3563743007553,753.6278499828115
12,buy,399.34808349609375,131.3669258054841,52.461130055193614
13,sell,399.34808349609375,234.03973988768934,93.46332158607304
14,buy,399.1995544433594,460.53182880597916,183.84410086633233
15,sell,408.40557861328125,332.86394461507865,135.9434919000204
16,sell,413.75091552734375,922.1617157491986,381.54525415549705
17,buy,415.7554931640625,1234.2221526219178,513.1346397373362
20,sell,424.1448974609375,1900.6697773018172,806.1593878007823
21,sell,420.13580322265625,387.74210398035257,162.90434029902812
22,buy,423.55084228515625,1097.1411465275112,464.6950567174294
23,buy,425.332763671875,134.93568805074932,57.39256911659121
24,sell,431.6432800292969,479.4974014299872,206.97183111876413
25,sell,428.450927734375,628.7475860136651,269.38748653830356
50,buy,429.93572998046875,331.95725287232773,142.7202838359753
51,buy,428.1539001464844,295.6130412318241,126.567876537569
52,sell,429.4160461425781,751.4021412387601,322.66413655381547
58,buy,417.3146057128906,543.9306349308018,226.99019845130982
59,sell,424.07061767578125,543.9306349308018,230.665000327885
64,buy,427.0402526855469,1178.2803774141241,503.17315010534907
65,buy,425.6296691894531,546.4331088384661,232.57814334908076
66,sell,423.3282165527344,1724.7134862525902,730.119884199758
67,buy,411.8207092285156,241.14420025562643,99.30817557561527
68,sell,415.7554931640625,241.14420025562643,100.25702590093142
70,buy,415.9826354980469,1099.3409500202936,457.30674570036837
71,sell,416.51275634765625,1099.3409500202936,457.88952925880346
74,buy,431.6586608886719,501.57858329148013,216.5107395940375
76,sell,433.0218505859375,501.57858329148013,217.19448635114952
79,buy,424.0100402832031,195.9242182103228,83.07383565581405
80,buy,419.61773681640625,241.77251617319155,101.45203606100262
81,buy,420.5264587402344,436.53734761638003,183.575504900971
82,sell,426.7362976074219,874.2340819998944,373.06741539485824
92,buy,410.30291748046875,778.4564122649447,319.40293708368534
93,sell,406.13787841796875,598.0946838948714,242.90890601012873
94,sell,398.4134521484375,180.36172837007325,71.85853883537966
97,buy,388.5685729980469,509.5039966380446,197.97724091044668
98,sell,388.64434814453125,261.35626290159684,101.57463442888184
99,sell,374.7100524902344,248.14773373644778,92.98345033371704
100,buy,380.16259765625,1273.1541998729047,484.00560784064794
101,sell,381.9800720214844,975.7994372602542,372.73593932319585
102,sell,384.63067626953125,297.35476261265046,114.37176343566968
103,buy,386.2209777832031,196.20841136319603,75.77980448598252
104,buy,382.5859680175781,220.46993635145571,84.34870401779553
105,sell,382.5859680175781,297.62774279422496,113.86819808581531
106,buy,383.7218933105469,1504.2022679378508,577.1953421751306
107,buy,388.4927978515625,878.5375569454222,341.3055135154035
109,sell,385.5394287109375,601.0782758760288,231.73937509179942
110,sell,379.48101806640625,588.9537587566831,223.49677196702274
111,sell,376.3760986328125,208.9884311675176,78.65825038222235
113,sell,383.5704040527344,1005.4428608360205,385.65812438280955
114,buy,382.81304931640625,368.81794743645366,141.18832310076687
115,buy,384.5549011230469,1282.025820342742,493.0093125790963
116,sell,385.23651123046875,980.3087948115717,377.65074004175534
117,sell,390.91619873046875,609.6702271364322,238.32996767131556
118,buy,388.4927978515625,698.4618195730546,271.34738647842926
